text,label,weight
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.05
All ingredients are USDA Organic certified,certified sustainable product,0.12
We decreased water usage by 46% in manufacturing,specific measurable claim,0.32
This item includes 76% biodegradable components,specific measurable claim,0.26
This item includes 40% biodegradable components,specific measurable claim,0.41
We reduced carbon emissions by 72% compared to baseline,specific measurable claim,0.37
Our packaging is environmentally friendly and reusable,vague environmental claim,0.87
Our brand promotes environmentally responsible solutions,vague environmental claim,0.96
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
We comply with Rainforest Alliance certification standards,certified sustainable product,0.12
The product uses 62% recycled aluminum,specific measurable claim,0.39
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.05
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
Our packaging is environmentally friendly and reusable,vague environmental claim,0.83
Our supply chain emissions dropped by 48% over two years,specific measurable claim,0.45
We aim to be a green company focused on sustainability,vague environmental claim,0.85
Our supply chain emissions dropped by 66% over two years,specific measurable claim,0.45
All ingredients are USDA Organic certified,certified sustainable product,0.05
We reduced carbon emissions by 66% compared to baseline,specific measurable claim,0.38
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.06
Our brand promotes environmentally responsible solutions,vague environmental claim,0.9
Our factory cut waste generation by 16% last year,specific measurable claim,0.49
We lowered greenhouse gas emissions by 69% since baseline,specific measurable claim,0.5
We care about the planet and use clean production methods,vague environmental claim,0.93
We decreased water usage by 59% in manufacturing,specific measurable claim,0.48
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.1
Our products are eco-friendly and better for the environment,vague environmental claim,0.97
We lowered greenhouse gas emissions by 61% since baseline,specific measurable claim,0.46
This product is natural and safe for the environment,vague environmental claim,0.92
We improved energy efficiency by 23% across operations,specific measurable claim,0.3
This product is made of 75% plant-based materials,specific measurable claim,0.47
We care about the planet and use clean production methods,vague environmental claim,0.95
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.11
This product is certified by LEED standards for environmental design,certified sustainable product,0.08
We decreased water usage by 89% in manufacturing,specific measurable claim,0.44
Our packaging contains 48% recycled plastic,specific measurable claim,0.26
We lowered greenhouse gas emissions by 10% since baseline,specific measurable claim,0.37
Our cotton is GOTS certified organic cotton,certified sustainable product,0.08
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.06
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.11
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.1
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.15
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.81
This item includes 32% biodegradable components,specific measurable claim,0.38
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.08
Our packaging is environmentally friendly and reusable,vague environmental claim,0.97
We decreased water usage by 33% in manufacturing,specific measurable claim,0.3
We care about the planet and use clean production methods,vague environmental claim,0.95
This product is natural and safe for the environment,vague environmental claim,0.84
We aim to be a green company focused on sustainability,vague environmental claim,0.83
This item includes 80% biodegradable components,specific measurable claim,0.47
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.84
Our cotton is GOTS certified organic cotton,certified sustainable product,0.12
This product is made of 23% plant-based materials,specific measurable claim,0.33
This item includes 41% biodegradable components,specific measurable claim,0.4
Our brand promotes environmentally responsible solutions,vague environmental claim,0.85
Our factory cut waste generation by 82% last year,specific measurable claim,0.27
Our factory cut waste generation by 74% last year,specific measurable claim,0.46
We care about the planet and use clean production methods,vague environmental claim,0.82
We improved energy efficiency by 45% across operations,specific measurable claim,0.33
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
All ingredients are USDA Organic certified,certified sustainable product,0.13
We are committed to sustainability and green practices,vague environmental claim,0.9
Designed with the planet in mind for a cleaner future,vague environmental claim,0.81
Our factory cut waste generation by 82% last year,specific measurable claim,0.36
This product is made of 62% plant-based materials,specific measurable claim,0.27
All ingredients are USDA Organic certified,certified sustainable product,0.12
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.1
Our brand promotes environmentally responsible solutions,vague environmental claim,0.88
This product is certified by LEED standards for environmental design,certified sustainable product,0.06
We comply with Rainforest Alliance certification standards,certified sustainable product,0.1
Our factory cut waste generation by 26% last year,specific measurable claim,0.36
We are committed to sustainability and green practices,vague environmental claim,0.81
We aim to be a green company focused on sustainability,vague environmental claim,0.99
We reduced carbon emissions by 13% compared to baseline,specific measurable claim,0.31
We are committed to sustainability and green practices,vague environmental claim,0.99
Our factory cut waste generation by 63% last year,specific measurable claim,0.46
We decreased water usage by 76% in manufacturing,specific measurable claim,0.27
Our factory cut waste generation by 17% last year,specific measurable claim,0.34
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.93
Our factory cut waste generation by 69% last year,specific measurable claim,0.42
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.97
Our supply chain emissions dropped by 83% over two years,specific measurable claim,0.49
Designed with the planet in mind for a cleaner future,vague environmental claim,0.96
We improved energy efficiency by 84% across operations,specific measurable claim,0.41
Our cotton is GOTS certified organic cotton,certified sustainable product,0.14
This product is made of 65% plant-based materials,specific measurable claim,0.31
Our factory cut waste generation by 86% last year,specific measurable claim,0.39
We lowered greenhouse gas emissions by 26% since baseline,specific measurable claim,0.49
Our factory cut waste generation by 46% last year,specific measurable claim,0.46
We aim to be a green company focused on sustainability,vague environmental claim,0.97
All ingredients are USDA Organic certified,certified sustainable product,0.11
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.13
This product is certified by LEED standards for environmental design,certified sustainable product,0.14
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.1
We reduced carbon emissions by 13% compared to baseline,specific measurable claim,0.41
Our brand promotes environmentally responsible solutions,vague environmental claim,0.98
We care about the planet and use clean production methods,vague environmental claim,0.98
We comply with Rainforest Alliance certification standards,certified sustainable product,0.09
We aim to be a green company focused on sustainability,vague environmental claim,1.0
We lowered greenhouse gas emissions by 61% since baseline,specific measurable claim,0.26
We are committed to sustainability and green practices,vague environmental claim,0.81
Our operations are certified carbon neutral by a third party,certified sustainable product,0.09
Our products are eco-friendly and better for the environment,vague environmental claim,0.99
Designed with the planet in mind for a cleaner future,vague environmental claim,0.85
Our operations are certified carbon neutral by a third party,certified sustainable product,0.12
Our cotton is GOTS certified organic cotton,certified sustainable product,0.06
Our factory cut waste generation by 46% last year,specific measurable claim,0.43
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.87
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
This product is natural and safe for the environment,vague environmental claim,0.84
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.07
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
This item includes 22% biodegradable components,specific measurable claim,0.29
We comply with Rainforest Alliance certification standards,certified sustainable product,0.12
Our brand promotes environmentally responsible solutions,vague environmental claim,0.8
Our packaging is environmentally friendly and reusable,vague environmental claim,0.96
This item includes 72% biodegradable components,specific measurable claim,0.45
We decreased water usage by 34% in manufacturing,specific measurable claim,0.39
Our products are eco-friendly and better for the environment,vague environmental claim,0.94
Our products are eco-friendly and better for the environment,vague environmental claim,0.96
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.14
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.14
We reduced carbon emissions by 41% compared to baseline,specific measurable claim,0.39
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.85
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.15
Our supply chain emissions dropped by 90% over two years,specific measurable claim,0.45
We care about the planet and use clean production methods,vague environmental claim,0.97
This item includes 78% biodegradable components,specific measurable claim,0.37
Our supply chain emissions dropped by 11% over two years,specific measurable claim,0.32
